App name,App status,Graph API access,Permission type,Consent type,Publisher,Last modified,Added on,Permission usage,Data usage,Privilege level
LuzonOnTeams,Enabled,Yes,Delegated,Admin,N/A,,2021-09-13T09:50:51.000Z,Some unused,0,Medium
LuzonOnTeams,Enabled,Yes,Delegated,Admin,N/A,,2022-01-24T20:40:38.000Z,Some unused,0,Medium
LuzonOnTeams,Enabled,Yes,Delegated,Admin,N/A,,2021-11-22T13:33:22.000Z,Some unused,0,Medium
LuzonOnTeams,Enabled,Yes,Delegated,Admin,N/A,,2021-11-22T13:33:50.000Z,Some unused,0,Medium
LuzonOnTeams,Enabled,Yes,Delegated,Admin,N/A,,2021-12-14T09:12:23.000Z,Some unused,0,Medium
LuzonOnTeams-local-debug-aad,Enabled,Yes,Delegated,Admin,N/A,,2022-06-28T09:06:45.000Z,Some unused,0,Medium
M42-test-louvre-wa,Enabled,Yes,Mixed,Admin,N/A,,2022-02-07T11:27:02.000Z,N/A,0,Medium
Mailbird,Disabled by user,Yes,Delegated,User (1),"Mailbird, Inc.",,2021-02-17T13:43:46.000Z,Some unused,0,High
MailClark for MS Live,Disabled by user,Yes,Delegated,User (2),N/A,,2021-11-08T13:20:50.000Z,Some unused,0,High
MailMerge365,Disabled by user,Yes,Delegated,User (1),N/A,,2020-03-22T20:13:52.000Z,Some unused,0,High
Mailspring,Disabled by user,Yes,Delegated,User (2),N/A,,2022-06-15T10:55:48.000Z,Some unused,0,High
Make,Disabled by user,Yes,Delegated,User (6),N/A,2023-10-31T14:29:15.000Z,2021-10-28T16:56:50.000Z,Some unused,0,High
Management Port Alerts,Disabled by user,Yes,Mixed,Admin,N/A,2023-10-31T15:33:25.000Z,2021-10-11T10:41:43.000Z,N/A,0,High
MCS - AzGovViz - PRD,Enabled,Yes,Mixed,Admin,N/A,2023-01-31T09:34:27.000Z,2023-01-31T09:30:41.000Z,N/A,0,High
MCS - ClickSyncUser -PRD,Enabled,Yes,Mixed,Admin,N/A,2023-03-14T10:11:38.000Z,2021-09-14T08:58:16.000Z,N/A,0,High
MCS - Directory Read Only automation,Enabled,Yes,Mixed,Admin,N/A,2023-11-02T10:13:28.000Z,2023-11-01T13:34:46.000Z,N/A,0,High
MCS - ExtensionsMW/PAW - PRD,Enabled,Yes,Mixed,Admin,N/A,,2022-05-22T14:22:40.000Z,N/A,0,High
MCS - PowerPlatformOperations - DEV,Enabled,Yes,Mixed,Admin,N/A,,2021-12-27T10:05:04.000Z,N/A,0,High
MCS - PowerPlatformOperations - PRD,Enabled,Yes,Delegated,Admin,N/A,,2021-12-27T10:08:15.000Z,N/A,0,High
MCS - SCAzureAD -  PRD,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T13:40:12.000Z,2021-12-22T11:56:33.000Z,N/A,0,High
MCS - SCAzureRM -  PRD,Enabled,Yes,Mixed,Admin,N/A,,2021-12-22T11:55:31.000Z,N/A,0,Medium
MCS - SMS for Automations - PRD,Enabled,Yes,Mixed,Admin,N/A,,2021-11-04T11:26:00.000Z,Some unused,0,High
MCS - Splunk - DEV,Enabled,Yes,Mixed,Admin,N/A,,2022-01-04T14:39:10.000Z,N/A,0,High
MCS - Splunk - PRD,Enabled,Yes,Mixed,Admin,N/A,,2022-03-28T10:24:28.000Z,N/A,0,High
MCS - Subscription Creation - PRD,Enabled,Yes,Mixed,Admin,N/A,,2022-01-20T11:25:20.000Z,N/A,0,Medium
MCS - Terraform dev ,Enabled,Yes,Mixed,Admin,N/A,2023-12-05T10:59:51.000Z,2023-11-28T09:52:58.000Z,N/A,0,Medium
MCS-Automation-Read,Enabled,Yes,Mixed,Admin,N/A,2023-07-16T08:25:09.000Z,2023-06-15T07:51:11.000Z,Some unused,0,High
MCS-Automations,Enabled,Yes,Mixed,Admin,N/A,2023-11-18T07:13:21.000Z,2023-05-16T08:44:28.000Z,N/A,0,High
MCS-finops-automations-PRD,Enabled,Yes,Application,Admin,N/A,,2022-08-30T08:06:52.000Z,N/A,0,Medium
MCS-Reset-Users,Enabled,Yes,Mixed,Admin,N/A,2023-11-12T09:03:13.000Z,2023-11-12T08:17:50.000Z,N/A,0,Medium
MCS-stratus-hp-SPN,Enabled,Yes,Mixed,Admin,N/A,2023-06-29T12:57:11.000Z,2023-06-01T08:20:26.000Z,Some unused,0,High
MCS-strauts-SPN,Enabled,Yes,Mixed,Admin,N/A,2023-11-16T22:22:37.000Z,2023-03-15T07:40:30.000Z,Some unused,0,High
mefakdim-dummy,Enabled,Yes,Delegated,User (1),N/A,,2020-04-05T10:04:56.000Z,Some unused,0,Medium
Microfocus PROD,Disabled by user,Yes,Delegated,User (4),N/A,2023-10-31T14:34:45.000Z,2021-03-03T15:17:09.000Z,Some unused,0,High
Microsoft Assessments,Enabled,Yes,Application,Admin,N/A,2023-06-08T12:13:47.000Z,2023-06-08T12:09:55.000Z,Some unused,0,High
Microsoft Business Solutions,Enabled,No,Delegated,User (2),N/A,2023-08-24T13:23:55.000Z,2020-08-03T11:15:50.000Z,N/A,0,None
Microsoft events,Enabled,No,Delegated,User (26),N/A,2023-04-20T16:19:17.000Z,2020-02-05T11:37:33.000Z,N/A,0,None
Microsoft Flow Launch Panel,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T14:35:12.000Z,2021-01-17T09:56:37.000Z,Some unused,0,High
Microsoft Graph Command Line Tools,Enabled,Yes,Delegated,Admin,N/A,2023-07-23T19:55:52.000Z,2021-02-07T13:37:21.000Z,Some unused,0,High
Microsoft Intune PowerShell,Disabled by user,Yes,Delegated,User (1),N/A,2023-01-26T13:00:40.000Z,2022-01-05T10:19:27.000Z,N/A,0,High
