App name,App status,Graph API access,Permission type,Consent type,Publisher,Last modified,Added on,Permission usage,Data usage,Privilege level
Baseline Production,Enabled,Yes,Delegated,User (1),N/A,2023-01-16T09:12:48.000Z,2023-01-16T09:12:48.000Z,N/A,0,Low
Freelance PRD Service,Enabled,Yes,Delegated,User (3),N/A,2023-01-17T08:20:47.000Z,2021-11-29T23:13:57.000Z,N/A,0,Low
DigitalIDF - UrgentCare - PreProd,Enabled,Yes,Mixed,Admin,N/A,2023-01-17T09:28:18.000Z,2022-10-02T07:55:48.000Z,N/A,0,Low
DigitalIDF - Tofes55 - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-01-17T17:29:26.000Z,2022-09-13T13:08:49.000Z,N/A,0,Low
DigitalIDF - API - PreProd (deprecated),Enabled,Yes,Delegated,Admin,N/A,2023-01-18T15:29:14.000Z,2020-07-29T09:27:07.000Z,N/A,0,Low
DigitalIDF - Havader - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-01-18T15:31:06.000Z,2022-12-13T12:52:56.000Z,N/A,0,Low
Food Analytics,Enabled,Yes,Delegated,User (28),N/A,2023-01-20T21:16:55.000Z,2022-02-27T08:58:58.000Z,N/A,0,Low
Minecraft:  Education Edition,Enabled,Yes,Delegated,User (1),N/A,2023-01-24T17:17:39.000Z,2023-01-24T17:17:39.000Z,N/A,0,Low
DigitalIdf - Wiki - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-01-25T16:20:12.000Z,2022-01-06T16:23:04.000Z,N/A,0,Low
Code Index Client Applications,Enabled,Yes,Delegated,User (1),N/A,2023-01-26T10:07:27.000Z,2023-01-26T10:07:27.000Z,N/A,0,Low
Code Index API,Enabled,Yes,Delegated,User (1),N/A,2023-01-26T10:07:28.000Z,2023-01-26T10:07:28.000Z,N/A,0,Low
MURAL,Enabled,Yes,Delegated,User (2),"Tactivos, Inc. dba MURAL",2023-01-27T15:31:27.000Z,2022-02-25T23:22:50.000Z,N/A,0,Low
DigitalIDF - People - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-01-31T06:07:51.000Z,2022-04-11T08:05:58.000Z,N/A,0,Low
DigitalIDF - hantzahaClient - DEV,Enabled,Yes,Delegated,Admin,N/A,2023-01-31T12:02:07.000Z,2022-11-06T15:25:55.000Z,N/A,0,Low
Adobe Sign for Office365 - GCC,Enabled,Yes,Delegated,User (1),Adobe Inc.,2023-01-31T14:03:26.000Z,2023-01-31T14:02:58.000Z,N/A,0,Low
DigitalIDF - UrgentCare - Test,Enabled,Yes,Mixed,Admin,N/A,2023-01-31T14:05:49.000Z,2021-12-02T07:38:28.000Z,N/A,0,Low
DigitalIDF - MedicalCenter - Test,Enabled,Yes,Delegated,Admin,N/A,2023-01-31T14:06:02.000Z,2022-01-04T09:47:37.000Z,N/A,0,Low
Confluence Cloud,Enabled,Yes,Delegated,User (2),Atlassian,2023-02-01T11:59:17.000Z,2023-01-30T13:56:50.000Z,Some unused,0,Low
Supermetrics Identity,Enabled,Yes,Delegated,User (1),Supermetrics,2023-02-02T08:14:16.000Z,2023-02-02T08:14:16.000Z,N/A,0,Low
DigitalIDF - Spider - Dev,Enabled,Yes,Delegated,User (20),N/A,2023-02-02T13:01:00.000Z,2022-11-10T14:03:07.000Z,N/A,0,Low
DigitalIDF - SmartBase - SMS - PreProd,Enabled,Yes,Mixed,Admin,N/A,2023-02-03T06:28:37.000Z,2023-01-10T08:57:39.000Z,N/A,0,Low
DigitalIDF - SmartBase - SMS - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-02-03T06:28:45.000Z,2023-01-10T08:58:47.000Z,N/A,0,Low
Priority Matrix,Enabled,Yes,Delegated,User (1),Appfluence Inc,2023-02-03T09:50:29.000Z,2023-02-03T09:50:29.000Z,N/A,0,Low
Weboneh-Dev-New,Enabled,Yes,Delegated,User (1),N/A,2023-02-04T14:12:19.000Z,2023-02-04T14:12:18.000Z,N/A,0,Low
CollaBoard App,Enabled,Yes,Delegated,User (1),N/A,2023-02-04T19:45:05.000Z,2023-02-04T19:45:05.000Z,N/A,0,Low
security-test-front,Enabled,Yes,Delegated,User (2),N/A,2023-02-05T12:25:18.000Z,2023-02-01T07:49:09.000Z,N/A,0,Low
DigitalIDF - medicalARForTest - Test,Enabled,Yes,Mixed,Admin,N/A,2023-02-07T10:58:03.000Z,2022-12-15T07:58:04.000Z,N/A,0,Low
DigitalIDF - hantzaha - DEV,Enabled,Yes,Mixed,Admin,N/A,2023-02-08T18:13:22.000Z,2022-09-28T14:20:13.000Z,N/A,0,Low
Robin (SSO + Service Accounts),Enabled,Yes,Delegated,User (2),Robin Powered,2023-02-09T17:23:17.000Z,2021-07-04T06:49:30.000Z,N/A,0,Low
iGlobe Planner,Enabled,Yes,Delegated,User (1),iGlobe,2023-02-11T10:01:38.000Z,2023-02-11T10:01:38.000Z,N/A,0,Low
DigitalIDF - SMS Services API - PreProd,Enabled,Yes,Mixed,Admin,N/A,2023-02-12T07:13:21.000Z,2022-03-28T11:30:11.000Z,N/A,0,Low
Cybrary Google Identity Signin,Enabled,Yes,Delegated,User (2),N/A,2023-02-18T18:31:08.000Z,2022-03-01T17:22:57.000Z,N/A,0,Low
DigitalIDF - Flow - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-02-20T14:43:01.000Z,2022-09-19T12:35:28.000Z,N/A,0,Low
DigitalIDF - Havader - Preprod,Enabled,Yes,Mixed,Admin,N/A,2023-02-21T13:58:53.000Z,2023-01-26T08:29:07.000Z,N/A,0,Low
PM-WebApp,Enabled,Yes,Delegated,User (131),N/A,2023-02-23T08:54:08.000Z,2021-02-18T09:17:00.000Z,N/A,0,Low
DigitalIDF - VMeet (Medical) - PreProd,Enabled,Yes,Mixed,Admin,N/A,2023-02-24T07:52:03.000Z,2022-12-11T15:51:43.000Z,N/A,0,Low
DigitalIDF - VMeet (Medical) - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-02-28T06:40:46.000Z,2023-02-22T15:44:31.000Z,N/A,0,Low
DSOZ-SonarQube,Enabled,Yes,Delegated,User (2),N/A,2023-02-28T10:11:29.000Z,2023-02-27T09:14:16.000Z,N/A,0,Low
optimus-devops,Enabled,Yes,Delegated,Admin,N/A,2023-02-28T11:35:40.000Z,2022-01-13T09:21:33.000Z,N/A,0,Low
checkit-admin-panel1.0,Enabled,Yes,Delegated,User (2),N/A,2023-03-01T14:02:25.000Z,2022-12-14T11:23:02.000Z,N/A,0,Low
PM-Backend-App,Enabled,Yes,Delegated,User (2),N/A,2023-03-02T09:07:46.000Z,2023-03-01T14:26:03.000Z,N/A,0,Low
openshift-auth,Enabled,Yes,Delegated,User (3),N/A,2023-03-06T08:55:47.000Z,2023-02-07T09:31:11.000Z,N/A,0,Low
Celtx,Enabled,Yes,Delegated,User (2),Celtx Inc.,2023-03-06T17:08:13.000Z,2022-06-06T19:18:11.000Z,N/A,0,Low
Café,Enabled,Yes,Delegated,User (1),BUFU,2023-03-06T19:00:02.000Z,2023-03-06T19:00:01.000Z,N/A,0,Low
Red Hat,Enabled,Yes,Delegated,User (3),N/A,2023-03-08T08:11:10.000Z,2022-02-25T18:24:24.000Z,N/A,0,Low
